 TIMESTAMP 	 VALUE0 	 VALUE1 	 VALUE2 	 VALUE_MEAN 
1.045	119.9902	15.8854	4.162	121.10869610890872
1.068	119.9795	15.9133	4.1849	121.10254714559063
1.074	119.9795	15.9133	4.1849	121.10254714559063
1.086	119.9811	15.9232	4.1794	121.10524365117308
1.115	120.0045	15.9224	4.1827	121.12843523013082
1.128	120.0045	15.9224	4.1827	121.12843523013082
1.135	120.0078	15.9423	4.1717	121.13394268750605
1.157	120.0078	15.9423	4.1717	121.13394268750605
1.16	120.0136	15.9437	4.1983	121.14079196348354
1.164	120.0136	15.9437	4.1983	121.14079196348354
1.181	120.0386	15.9528	4.1961	121.16668095235588
1.196	120.0365	15.9571	4.18	121.1646102319485
1.198	120.0365	15.9571	4.18	121.1646102319485
1.204	120.0308	15.9556	4.1534	121.15785096955128
1.214	120.0484	15.9533	4.13	121.17418464116027
1.224	120.066	15.951	4.1066	121.19052322917004
1.234	120.066	15.951	4.1066	121.19052322917004
1.243	120.066	15.951	4.1066	121.19052322917004
1.256	120.0677	15.9609	4.1011	121.19332462355342
1.289	120.0895	15.9502	4.1099	121.21381178850866
1.3	120.0837	15.9487	4.0832	121.20696580485792
1.305	120.1014	15.9464	4.0598	121.22341329528714
1.307	120.1014	15.9464	4.0598	121.22341329528714
1.314	120.1014	15.9464	4.0598	121.22341329528714
1.324	120.1088	15.9578	4.081	121.23295665486346
1.334	120.1129	15.9494	4.1131	121.23699805909085
1.344	120.1186	15.9508	4.1398	121.24373810898442
1.357	120.1223	15.9565	4.1504	121.24851615463176
1.366	120.1059	15.9829	4.1467	121.23561946932098
1.387	120.046	16.0309	4.1254	121.18189136983298
1.396	120.0354	16.0588	4.1484	121.17587025955291
1.406	120.0433	16.056	4.1911	121.18479413730091
1.416	120.0433	16.056	4.1911	121.18479413730091
1.426	120.0433	16.056	4.1911	121.18479413730091
1.436	120.0374	16.0613	4.2679	121.18233256898466
1.449	120.0411	16.067	4.2785	121.18712695851816
1.456	120.0411	16.067	4.2785	121.18712695851816
1.477	120.0177	16.0678	4.2752	121.16393789065293
1.486	119.9944	16.0687	4.2719	121.140861317146
1.496	119.9514	16.0761	4.2759	121.0993917159785
1.506	119.9317	16.0827	4.2831	121.08100945148253
1.517	119.918	16.0907	4.3171	121.06971009670421
1.528	119.8772	16.0939	4.3372	121.03044245515258
1.536	119.8788	16.1039	4.3317	121.03316037161055
1.549	119.8555	16.1047	4.3284	121.01007102262193
1.559	119.8322	16.1056	4.3251	120.98699516150485
1.57	119.8251	16.08	4.3256	120.97657544074391
1.576	119.8143	16.0487	4.3154	120.9613571903854
1.586	119.8306	16.0223	4.3192	120.97413889873323
1.596	119.7966	15.9918	4.3058	120.93594565901405
1.606	119.7966	15.9918	4.3058	120.93594565901405
1.637	119.7028	15.9571	4.3416	120.83972384447921
1.675	119.7028	15.9571	4.3416	120.83972384447921
1.702	119.6659	15.9661	4.3723	120.8054675058625
1.705	119.6231	15.9736	4.3763	120.76420807615143
1.708	119.555	15.9861	4.361	120.69785308451017
1.71	119.555	15.9861	4.361	120.69785308451017
1.714	119.5265	15.9713	4.3528	120.66736714530569
1.716	119.5158	15.94	4.3428	120.65226877883399
1.726	119.5158	15.94	4.3428	120.65226877883399
1.733	119.5035	15.8988	4.3383	120.63448595066006
1.745	119.5066	15.8593	4.2944	120.63078674786964
1.766	119.4739	15.8528	4.2539	120.59610157156823
1.773	119.4739	15.8528	4.2539	120.59610157156823
1.785	119.4307	15.8149	4.2036	120.54656120130511
1.793	119.3803	15.7655	4.1322	120.48768441288927
1.826	119.3517	15.7054	4.0697	120.4493683675427
1.828	119.3069	15.6715	4.0034	120.39833682995791
1.83	119.2443	15.6541	3.9389	120.33191123933003
1.835	119.1976	15.6697	3.9109	120.28675106868586
1.842	119.1976	15.6697	3.9109	120.28675106868586
1.853	119.0028	15.7418	3.8592	120.10147417796335
1.862	119.0028	15.7418	3.8592	120.10147417796335
1.873	119.0028	15.7418	3.8592	120.10147417796335
1.883	118.8137	15.7839	3.758	119.91642660995198
1.893	118.7285	15.7669	3.6904	119.8276716790408
